PING 10.0.10.164 (10.0.10.164) 56(84) bytes of data.
64 bytes from 10.0.10.164: icmp_seq=1 ttl=63 time=1.28 ms
64 bytes from 10.0.10.164: icmp_seq=2 ttl=63 time=1.72 ms
64 bytes from 10.0.10.164: icmp_seq=3 ttl=63 time=1.03 ms
64 bytes from 10.0.10.164: icmp_seq=4 ttl=63 time=1.98 ms
64 bytes from 10.0.10.164: icmp_seq=5 ttl=63 time=1.03 ms
64 bytes from 10.0.10.164: icmp_seq=6 ttl=63 time=0.644 ms
64 bytes from 10.0.10.164: icmp_seq=7 ttl=63 time=0.992 ms
64 bytes from 10.0.10.164: icmp_seq=8 ttl=63 time=1.09 ms
64 bytes from 10.0.10.164: icmp_seq=9 ttl=63 time=0.952 ms
64 bytes from 10.0.10.164: icmp_seq=10 ttl=63 time=1.08 ms
64 bytes from 10.0.10.164: icmp_seq=11 ttl=63 time=1.13 ms
64 bytes from 10.0.10.164: icmp_seq=12 ttl=63 time=0.778 ms
64 bytes from 10.0.10.164: icmp_seq=13 ttl=63 time=0.703 ms
64 bytes from 10.0.10.164: icmp_seq=14 ttl=63 time=0.860 ms
64 bytes from 10.0.10.164: icmp_seq=15 ttl=63 time=0.776 ms
64 bytes from 10.0.10.164: icmp_seq=16 ttl=63 time=0.679 ms
64 bytes from 10.0.10.164: icmp_seq=17 ttl=63 time=0.704 ms
64 bytes from 10.0.10.164: icmp_seq=18 ttl=63 time=0.776 ms
64 bytes from 10.0.10.164: icmp_seq=19 ttl=63 time=1.20 ms
64 bytes from 10.0.10.164: icmp_seq=20 ttl=63 time=0.782 ms
64 bytes from 10.0.10.164: icmp_seq=21 ttl=63 time=0.664 ms
64 bytes from 10.0.10.164: icmp_seq=22 ttl=63 time=0.856 ms
64 bytes from 10.0.10.164: icmp_seq=23 ttl=63 time=0.694 ms
64 bytes from 10.0.10.164: icmp_seq=24 ttl=63 time=0.925 ms
64 bytes from 10.0.10.164: icmp_seq=25 ttl=63 time=0.710 ms
64 bytes from 10.0.10.164: icmp_seq=26 ttl=63 time=1.69 ms
64 bytes from 10.0.10.164: icmp_seq=27 ttl=63 time=0.642 ms
64 bytes from 10.0.10.164: icmp_seq=28 ttl=63 time=0.880 ms
64 bytes from 10.0.10.164: icmp_seq=29 ttl=63 time=2.97 ms
64 bytes from 10.0.10.164: icmp_seq=30 ttl=63 time=11.8 ms
64 bytes from 10.0.10.164: icmp_seq=31 ttl=63 time=2.51 ms
64 bytes from 10.0.10.164: icmp_seq=32 ttl=63 time=2.33 ms
64 bytes from 10.0.10.164: icmp_seq=33 ttl=63 time=1.48 ms
